6.00,-680.40,75.57,66.75
6.00,-680.40,75.57,66.75
6.00,-680.40,75.57,66.75
6.00,-680.40,75.57,66.75
6.00,-680.40,75.57,66.75
6.00,-680.40,75.57,66.75
6.00,-680.40,75.57,66.75
6.00,-680.40,75.57,66.75
6.00,-680.40,75.57,66.75
6.00,-680.40,75.57,66.75
6.00,-680.40,75.57,66.75
6.00,-680.40,75.57,66.75
6.00,-680.40,75.57,66.75
6.00,-680.40,75.57,66.75
6.00,-680.40,75.57,66.75
6.00,-680.40,75.57,66.75
6.00,-680.40,75.57,66.75
6.00,-680.40,75.57,66.75
6.00,-680.40,75.57,66.75
6.00,-680.40,75.57,66.75
6.00,-680.40,75.57,66.75
6.00,-680.40,75.57,66.75
6.00,-680.40,75.57,66.75
6.00,-680.40,75.57,66.75
6.00,-680.40,75.57,66.75
6.00,-680.40,75.57,66.75
6.00,-680.40,75.57,66.75
6.00,-680.40,75.57,66.75
6.00,-680.40,75.57,66.75
6.00,-680.40,75.57,66.75
6.00,-680.40,75.57,66.75
6.00,-680.40,75.57,66.75
6.00,-680.40,75.57,66.75
6.00,-680.40,75.57,66.75
6.00,-680.40,75.57,66.75
6.00,-680.40,75.57,66.75
6.00,-680.40,75.57,66.75
6.00,-680.40,75.57,66.75
6.00,-680.40,75.57,66.75
6.00,-680.40,75.57,66.75
6.00,-680.40,75.57,66.75
6.00,-680.40,75.57,66.75
6.00,-680.40,75.57,66.75
6.00,-680.40,75.57,66.75
6.00,-680.40,75.57,66.75
6.00,-680.40,75.57,66.75
6.00,-680.40,75.57,66.75
6.00,-680.40,75.57,66.75
6.00,-680.40,75.57,66.75
6.00,-680.40,75.57,66.75
6.00,-680.40,75.57,66.75
6.00,-680.40,75.57,66.75
6.00,-680.40,75.57,66.75
6.00,-680.40,75.57,66.75
6.00,-680.40,75.57,66.75
6.00,-680.40,75.57,66.75
6.00,-680.40,75.57,66.75
6.00,-680.40,75.57,66.75
6.00,-680.40,75.57,66.75
6.00,-680.40,75.57,66.75
6.00,-680.40,75.57,66.75
